"id","followers","genres","name","popularity"
"6QfFTZJHFSe9Xyes6DkAli",598316.00,"['polish hip hop', 'polish trap']","Reto",65
"6Qiz9BW9MNpD5nADhXgRxX",4644.00,"['polish rock']","SBB",20
"6Qs5IcDOZd6ICHRDC4EUlC",71.00,"['polish free jazz']","Profesjonalizm",0
"6R2e6FSXY9vhgOulV08FO3",34711.00,"['polish alternative', 'polish electronica', 'polish indie']","BOKKA",41
"6RIqdDgJ4vfsZwyrRcCjpX",284.00,"['polish experimental']","The Magic Carpathians (Karpaty Magiczne)",1
"6RQnl5rV2rBVn1yU7FCwZE",11570.00,"['polish rock']","Formacja Niezywych Schabuff",23
"6RmlI17B2WMUC095T7RlMP",26838.00,"['polish hip hop']","Buka",41
"6SNpSHamopJDP0iPHPq3k9",19.00,"['polish psychedelia']","Palmer Eldritch & Justyna Sylwia",0
"6SQa5MTpQYjKD7J5VViIxa",2984.00,"['disco polo']","Luka Rosi",33
"6SRwp4jTCFGRERUTcmrMnG",2176.00,"['nu age', 'polish ambient']","Anna Rose Carter",24
"6SyKQQHLPsPBdAQbOV6NQf",1876.00,"['disco polo', 'goralski']","Zbóje",31
"6T3v6RRLeCWcs4Sb47blaJ",425.00,"['polish alternative']","Jakub Skorupa",26
"6TCHOQu6urv0OAYzGUZqJ8",102.00,"['polish modern jazz']","Maciej Fortuna Trio",0
"6TMvLRR8hD8RADUX9aqz3L",1981.00,"['polish modern jazz']","Kuba Więcek",36
"6TXRjtpEE5xS2LwTujjNye",16.00,"['polish classical']","Tadeusz Paciorkiewicz",0
